year,totacc,fatacc,injacc,pdoacc,ntotacc,nfatacc,ninjacc,npdoacc,rtotacc,rfatacc,rinjacc,rpdoacc,ushigh,cntyrds,strtes,t,tsq,unem,spdlaw,beltlaw,wkends,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ltotacc,lfatacc,prcfat,prcrfat,lrtotacc,lrfatacc,lntotacc,lnfatacc,prcnfat,lushigh,lcntyrds,lstrtes,spdt,beltt,prcfat_1
1988,45944,381,19202,26361,41866,319,17775,23772,346,19,135,192,1127,6805,3515,87,7569,5.3000002,1,1,12,0,1,0,0,0,0,0,0,0,0,0,10.735179,5.9427996,.82927036,5.4913297,5.8464389,2.9444389,10.642229,5.7651911,.76195478,7.0273147,8.8254128,8.1647949,87,87,.79370672
1988,47003,394,19633,26976,42704,333,17996,24375,392,17,174,201,1232,7060,3800,88,7744,5,1,1,14,0,0,1,0,0,0,0,0,0,0,0,10.757967,5.9763508,.83824432,4.3367348,5.971262,2.8332133,10.662048,5.8081427,.77978641,7.116394,8.8622007,8.2427559,88,88,.82927036
1988,46066,387,19539,26140,42051,346,18052,23653,411,17,185,209,1356,7060,3718,89,7921,5.8000002,1,1,13,0,0,0,1,0,0,0,0,0,0,0,10.73783,5.9584246,.84009898,4.1362529,6.0185933,2.8332133,10.646639,5.8464389,.82281041,7.2122946,8.8622007,8.2209415,89,89,.83824432
1988,45719,352,19363,26004,41569,305,17843,23421,408,20,193,195,1280,6941,3745,90,8100,5.4000001,1,1,12,0,0,0,0,1,0,0,0,0,0,0,10.730269,5.8636312,.76992059,4.9019608,6.0112672,2.9957323,10.63511,5.7203116,.73371983,7.1546154,8.8452015,8.2281771,90,90,.84009898
1988,47161,439,20123,26599,42709,376,18398,23935,504,27,239,238,1383,6920,4164,91,8281,5.9000001,1,1,15,0,0,0,0,0,1,0,0,0,0,0,10.761323,6.0844994,.93085384,5.3571429,6.2225761,3.2958369,10.662165,5.9295893,.88037652,7.2320104,8.8421707,8.3342314,91,91,.76992059
1988,47558,457,20200,26901,42768,385,18443,23940,510,31,236,243,1420,6990,4010,92,8464,5.5999999,1,1,12,0,0,0,0,0,0,1,0,0,0,0,10.769706,6.1246834,.9609319,6.0784316,6.2344108,3.4339871,10.663546,5.9532433,.90020579,7.2584124,8.8522358,8.2965469,92,92,.93085384
1988,47052,442,19928,26682,42634,384,18334,23916,406,16,190,200,1323,7104,3917,93,8649,5,1,1,13,0,0,0,0,0,0,0,1,0,0,0,10.759008,6.09131,.93938625,3.9408867,6.0063534,2.7725887,10.660407,5.9506426,.9006896,7.1876574,8.868413,8.2730818,93,93,.9609319
1988,48297,457,20195,27645,43879,402,18569,24908,413,18,193,202,1333,7101,4074,94,8836,4.8000002,1,1,14,0,0,0,0,0,0,0,0,1,0,0,10.785125,6.1246834,.94622856,4.3583536,6.0234475,2.8903718,10.689191,5.9964519,.91615582,7.1951871,8.8679905,8.3123808,94,94,.93938625
1988,49136,414,19875,28847,44420,356,18172,25892,426,12,202,212,1523,7052,4042,95,9025,5.0999999,1,1,12,0,0,0,0,0,0,0,0,0,1,0,10.802347,6.025866,.84255946,2.8169014,6.0544395,2.4849067,10.701445,5.8749309,.80144078,7.3284373,8.8610668,8.3044949,95,95,.94622856
1988,52971,456,21090,31425,47874,404,19229,28241,464,23,221,220,1518,7800,4447,96,9216,4.3000002,1,1,14,0,0,0,0,0,0,0,0,0,0,1,10.8775,6.1224928,.86084837,4.9568968,6.1398845,3.1354942,10.776328,6.0014148,.84388185,7.3251491,8.9618788,8.3999853,96,96,.84255946
1989,43142,360,17501,25281,39170,306,16107,22757,342,11,167,164,1184,6498,3548,97,9409,5.4000001,1,1,13,0,0,0,0,0,0,0,0,0,0,0,10.672253,5.8861041,.83445364,3.2163742,5.8348107,2.3978953,10.575666,5.7235851,.78121012,7.076654,8.7792501,8.174139,97,97,.86084837
1989,42475,345,17168,24962,38572,301,15733,22538,343,14,136,193,1175,5903,3437,98,9604,5.5,1,1,12,1,0,0,0,0,0,0,0,0,0,0,10.656671,5.8435445,.81224245,4.0816326,5.8377304,2.6390574,10.560282,5.7071104,.78035879,7.0690236,8.6832161,8.142354,98,98,.83445364
1989,49753,366,20734,28653,44875,302,18900,25673,464,24,201,239,1383,7076,4124,99,9801,4.6999998,1,1,13,0,1,0,0,0,0,0,0,0,0,0,10.814826,5.9026332,.73563403,5.1724138,6.1398845,3.1780539,10.711637,5.7104268,.67298049,7.2320104,8.8644638,8.3245792,99,99,.81224245
1989,45161,384,19377,25400,41149,341,17844,22964,412,12,212,188,1187,6643,3518,100,10000,5.0999999,1,1,14,0,0,1,0,0,0,0,0,0,0,0,10.717989,5.9506426,.85029119,2.9126213,6.0210233,2.4849067,10.624955,5.8318825,.82869571,7.0791845,8.8013191,8.1656475,100,100,.73563403
1989,46083,405,20042,25636,41765,345,18368,23052,457,25,209,223,1227,6804,3617,101,10201,5.1999998,1,1,12,0,0,0,1,0,0,0,0,0,0,0,10.738199,6.0038872,.87884909,5.4704595,6.1246834,3.2188759,10.639814,5.8435445,.82605052,7.1123276,8.8252659,8.1934004,101,101,.85029119
1989,45540,359,19283,25898,41193,308,17647,23238,412,11,203,198,1292,6837,3695,102,10404,5.5,1,1,13,0,0,0,0,1,0,0,0,0,0,0,10.726346,5.8833222,.78831798,2.6699028,6.0210233,2.3978953,10.626023,5.7300997,.74769986,7.1639466,8.8301039,8.214736,102,102,.87884909
1989,46325,474,20282,25569,41837,406,18542,22889,511,23,259,229,1325,6663,3985,103,10609,5.8000002,1,1,14,0,0,0,0,0,1,0,0,0,0,0,10.743437,6.1612072,1.0232056,4.5009785,6.2363696,3.1354942,10.641537,6.0063534,.97043288,7.189168,8.8043251,8.2902927,103,103,.78831798
1989,46742,458,20206,26078,42048,387,18389,23272,555,27,261,267,1435,6643,4068,104,10816,4.6999998,1,1,12,0,0,0,0,0,0,1,0,0,0,0,10.752398,6.1268692,.97984684,4.8648648,6.3189683,3.2958369,10.646567,5.9584246,.92037672,7.2689199,8.8013191,8.3109064,104,104,1.0232056
1989,47932,454,20496,26982,43180,379,18698,24103,468,23,219,226,1349,6935,3982,105,11025,5,1,1,14,0,0,0,0,0,0,0,1,0,0,0,10.777538,6.1180973,.94717515,4.9145298,6.1484685,3.1354942,10.673133,5.9375362,.87772119,7.207119,8.8443365,8.2895393,105,105,.97984684
1989,48678,422,20967,27289,44078,366,19238,24474,387,15,170,202,1461,6855,4008,106,11236,4.5999999,1,1,13,0,0,0,0,0,0,0,0,1,0,0,10.792982,6.0450053,.86692142,3.8759689,5.9584246,2.7080503,10.693716,5.9026332,.83034623,7.2868762,8.8327332,8.2960472,106,106,.94717515
1989,47971,396,20045,27530,43234,341,18326,24567,441,16,195,230,1406,6757,3935,107,11449,4.9000001,1,1,12,0,0,0,0,0,0,0,0,0,1,0,10.778352,5.9814143,.8254987,3.6281178,6.089045,2.7725887,10.674382,5.8318825,.7887311,7.2485042,8.8183346,8.2776661,107,107,.86692142
1989,47251,395,19601,27255,42596,333,17891,24372,496,19,221,256,1287,6852,3857,108,11664,4.8000002,1,1,15,0,0,0,0,0,0,0,0,0,0,1,10.763229,5.9788857,.8359611,3.8306451,6.2065759,2.9444389,10.659515,5.8081427,.78176355,7.160069,8.8322954,8.2576447,108,108,.8254987
