marr,wage,exper,age,coll,games,minutes,guard,forward,center,points,rebounds,assists,draft,allstar,avgmin,lwage,black,children,expersq,agesq,marrblck
0,200,2,25,4,45,313,1,0,0,2.9000001,.60000002,1.7,,0,6.955555,5.298317,0,0,4,625,0
1,1771,8,31,4,80,2820,1,0,0,15.9,5.1999998,3.9000001,46,0,35.25,7.4793,0,1,64,961,0
1,1800,10,32,4,75,1619,1,0,0,7.5,1.7,2.9000001,13,0,21.58667,7.495542,1,1,100,1024,1
0,1200,2,24,4,63,763,0,1,0,4.3000002,3.2,.5,10,0,12.11111,7.0900769,0,0,4,576,0
1,3081,9,31,3,82,3329,0,1,0,25.200001,11.5,4,13,1,40.597561,8.0330095,1,1,81,961,1
1,150,1,24,4,67,1121,0,1,0,5,2.7,.80000001,45,0,16.73134,5.0106349,1,0,1,576,1
0,1581,4,26,4,79,2210,0,0,1,8.6000004,8.3000002,.5,6,0,27.97468,7.3658128,1,0,16,676,0
1,2400,10,32,4,82,2969,1,0,0,15.1,3,12.6,16,1,36.207321,7.7832241,0,1,100,1024,0
0,650,1,23,3,15,92,0,0,1,1.3,.69999999,0,18,0,6.1333332,6.4769731,1,0,1,529,0
0,150,1,24,4,75,1321,1,0,0,6.9000001,3,1,,0,17.613331,5.0106349,1,0,1,576,0
1,2004,6,27,4,60,2025,1,0,0,18.200001,2.4000001,3.0999999,8,0,33.75,7.602901,0,1,36,729,0
0,2000,1,23,4,65,1604,1,0,0,12,2.9000001,1.9,6,0,24.67692,7.600903,1,0,1,529,0
0,2312,8,30,4,69,1485,0,0,1,6.5999999,4.6999998,.80000001,33,0,21.52174,7.7458682,1,0,64,900,0
1,1650,2,25,4,78,2795,0,1,0,17.1,9.3000002,3.5,6,0,35.833328,7.4085312,0,0,4,625,0
0,601,2,24,4,75,2487,0,1,0,18.200001,6,2.0999999,19,0,33.16,6.3985949,0,0,4,576,0
0,500,1,23,0,54,650,0,0,1,5.5999999,3.5999999,.30000001,30,0,12.03704,6.2146082,0,0,1,529,0
1,500,2,25,4,61,749,1,0,0,3.5999999,1.1,1.5,40,0,12.27869,6.2146082,1,0,4,625,1
1,283,2,26,4,65,1035,1,0,0,6.1999998,1.4,3.3,32,0,15.92308,5.6454468,0,0,4,676,0
0,1722,8,30,4,82,2303,1,0,0,9.8999996,2.3,6.0999999,22,0,28.085369,7.451241,0,0,64,900,0
1,600,3,26,4,3,35,0,1,0,4.3000002,2.3,.69999999,,0,11.66667,6.3969302,1,1,9,676,1
1,400,6,30,4,73,1397,0,1,0,4.8000002,4,.5,5,0,19.13699,5.9914651,1,0,36,900,1
0,1400,3,26,4,82,2605,1,0,0,14.8,4.8000002,2.3,9,0,31.76829,7.2442269,1,1,9,676,0
1,1630,5,27,4,81,2915,1,0,0,13.8,5.1999998,9.6999998,12,0,35.987659,7.3963351,1,1,25,729,1
1,1400,9,31,4,82,2149,0,1,0,8,4.6999998,1.5,35,0,26.207319,7.2442269,1,1,81,961,1
0,650,1,23,4,16,107,0,1,0,2.7,1.1,.5,15,0,6.6875,6.4769731,1,1,1,529,0
1,1200,11,33,4,82,2147,1,0,0,10,3.4000001,3.3,48,0,26.18293,7.0900769,0,1,121,1089,0
0,1228,6,28,4,82,1608,0,0,1,6.0999999,3.8,.69999999,28,0,19.60976,7.113142,1,1,36,784,0
0,1510,7,30,3,82,2539,0,1,0,11.9,6.0999999,2.7,19,0,30.963421,7.3198652,1,0,49,900,0
0,2625,10,31,4,80,2867,0,1,0,19.1,12,1.9,11,0,35.837502,7.8728361,1,0,100,961,0
1,565,1,26,4,81,1732,0,1,0,7.6999998,6.1999998,.60000002,45,0,21.382721,6.3368258,1,0,1,676,1
0,688,3,25,4,66,2292,0,1,0,11.7,10.9,.69999999,13,0,34.727268,6.5337892,1,0,9,625,0
1,833,1,24,4,27,186,0,1,0,2,2,.30000001,14,0,6.8888888,6.7250342,0,0,1,576,0
1,2000,7,28,4,79,2711,1,0,0,10.9,4.4000001,8.6000004,18,0,34.31646,7.600903,1,1,49,784,1
0,1262,7,28,3,76,2613,0,1,0,12,5.3000002,4.3000002,9,0,34.38158,7.1404529,1,0,49,784,0
1,3210,7,29,4,79,2638,1,0,0,19.9,2.7,3.0999999,11,1,33.39241,8.0740261,1,0,49,841,1
1,715.00012,5,31,4,75,1084,0,1,0,4.8000002,2.5,.80000001,54,0,14.45333,6.5722828,1,1,25,961,1
1,600,11,33,3,67,1197,1,0,0,10.4,1.6,2,4,0,17.865669,6.3969302,1,1,121,1089,1
0,2500,6,28,4,78,2113,0,0,1,15.7,6.1999998,1.8,2,0,27.089741,7.8240461,0,0,36,784,0
0,2000,12,33,3,30,282,0,1,0,2.3,2.5,.5,5,0,9.3999996,7.600903,1,0,144,1089,0
